Company,Data
KOULU Education Group,147,Education Technology,2014,Littoinen,Crunchbase,"6,090 €
                (2021)",2655429-8
Swappie,1384,Marketplaces,2015,Helsinki,163.35 M€,"207,321,651 €
                (2023)",2692328-4
Vapaus,618,Mobility & Vehicles,2018,Helsinki,17.19 M€,"24,876,066 €
                (2023)",2879502-8
Maketrade,183,Other Consumer Software & Apps,2022,Helsinki,Crunchbase,"64 €
                (2023)",3321202-6
SoilWatch,271,Clean & Green Technology,2022,Köörtilä,Crunchbase,"71,457 €
                (2023)",3258182-3
Oncarbon,286,SaaS/Travel & Hospitality,2021,Ikaalinen,0.33 M€,N/A,3220851-9
Suvanto Care,316,Other Consumer Software & Apps,2014,Rovaniemi,Crunchbase,"1,747,797 €
                (2023)",2654350-5
Aetlan,185,Energy Technology,2019,Espoo,Crunchbase,"13,360 €
                (2021)",3000935-6
Corle,153,,2017,Helsinki,Crunchbase,"4,235 €
                (2023)",2843002-9
Neural DSP Technologies,1599,Music & Digital Entertainment,2017,Helsinki,5.72 M€,"27,281,073 €
                (2023)",2847533-1
Membrane Finance,492,Crypto & Blockchain,2021,Helsinki,1.83 M€,"209,445 €
                (2023)",3236886-2
MAJ,293,Marketplaces,2016,Tampere,Crunchbase,"273,404 €
                (2023)",2778536-2
Moder,634,SaaS/Travel & Hospitality,2020,Helsinki,0.73 M€,"341,779 €
                (2023)",3141855-7
Maculaser,259,Health & Medical Technology,2020,Espoo,1.04 M€,N/A,3160009-2
Taika3D,230,Health & Medical Technology,2018,Espoo,Crunchbase,"506,307 €
                (2023)",2934271-7
Lekatech,182,Industrial Equipment,2018,Kausala,6.33 M€,N/A,2911472-2
Eezery Enterprise,166,,2017,Riihimäki,Crunchbase,"458,426 €
                (2022)",2802719-2
Neyra,144,,2019,Helsinki,0.1 M€,"25,299 €
                (2021)",2994208-5
Operating,267,SaaS/Business Software,2021,Helsinki,Crunchbase,"33,763 €
                (2023)",3189163-5
Flow Computing,669,Hardware & Devices,2023,Helsinki,3.73 M€,N/A,3410639-9
Fun Academy,461,Education Technology,2015,Vantaa,Crunchbase,"144,004 €
                (2023)",2702454-7
Hycamite,457,Climate Technology,2020,Kokkola,33.73 M€,"315 €
                (2023)",3108281-1
Hei.io,492,,2022,Helsinki,Crunchbase,"139,693 €
                (2023)",3280382-8
Sulapac,931,Material Technology,2016,Helsinki,18.19 M€,"2,124,668 €
                (2023)",2739393-2
Cumucore,385,SaaS/Business Software,2015,Espoo,Crunchbase,"57,002 €
                (2023)",2661729-5
Sam Corporation,195,Education Technology,2022,,Crunchbase,"30,340 €
                (2023)",3251840-2
Cerenion,301,,2017,Oulu,5.57 M€,"43,787 €
                (2023)",2832753-1
Physilect,147,Health & Medical Technology,2015,Helsinki,Crunchbase,"94,077 €
                (2022)",2730708-8
IVALO,602,Other Consumer Software & Apps,2015,Helsinki,0.14 M€,"708,807 €
                (2023)",2693545-3
HappySignals,601,SaaS/Business Software,2014,Helsinki,16.94 M€,"4,415,919 €
                (2023)",2643260-2
Tiitus,458,,2016,Turku,Crunchbase,"335,573 €
                (2023)",2736664-3
Neuwo,333,"SaaS/AdTech, MarTech, E-commerce",2022,Jyväskylä,Crunchbase,"200,110 €
                (2023)",3280995-5
Yonoton,320,Other Consumer Software & Apps,2016,Helsinki,Crunchbase,"1,672,197 €
                (2023)",2732822-5
Ainak,297,SaaS/Business Software,2018,Huhmari,Crunchbase,"67,680 €
                (2023)",2925129-2
Valossa,701,SaaS/Business Software,2015,Oulu,2.3 M€,"653,701 €
                (2022)",2718321-4
Unikie,652,SaaS/Business Software,2015,Tampere,12.38 M€,"64,881,596 €
                (2023)",2679881-5
Front AI,344,,2019,Helsinki,2.38 M€,"2,354,455 €
                (2023)",2990106-4
Cover Story,282,Building & Construction,2020,Helsinki,Crunchbase,"480,952 €
                (2022)",3132585-2
Phaver,917,Other Consumer Software & Apps,2019,Helsinki,7.51 M€,"1,904,533 €
                (2023)",3019296-3
Custobar,696,SaaS/Business Software,2014,Helsinki,0.35 M€,"3,304,289 €
                (2022)",2645106-1
Eventz Today,400,Other Consumer Software & Apps,2015,Helsinki,Crunchbase,"246,394 €
                (2023)",2700656-8
Taiga Concept,321,Fashion & Design Technology,2015,Kuopio,Crunchbase,"4,500,679 €
                (2023)",2696176-6
Tablebed,311,Hardware & Devices,2017,Turku,Crunchbase,N/A,2820085-6
Wonsta,217,SaaS/Software Development & Ops,2021,Helsinki,Crunchbase,"8,944 €
                (2021)",3204106-9
thtRobotics,158,Hardware & Devices,2019,Vantaa,2.09 M€,"0 €
                (2024)",2989304-1
Shipit,577,Industrial Equipment,2015,Mariehamn,Crunchbase,"7,318,590 €
                (2024)",2705721-8
Bellylabs,280,Health & Medical Technology,2017,Helsinki,Crunchbase,"430,975 €
                (2023)",2818331-2
Cerenion,301,,2017,Oulu,5.57 M€,"43,787 €
                (2023)",2832753-1
Physilect,147,Health & Medical Technology,2015,Helsinki,Crunchbase,"94,077 €
                (2022)",2730708-8
IVALO,602,Other Consumer Software & Apps,2015,Helsinki,0.14 M€,"708,807 €
                (2023)",2693545-3
HappySignals,601,SaaS/Business Software,2014,Helsinki,16.94 M€,"4,415,919 €
                (2023)",2643260-2
Tiitus,458,,2016,Turku,Crunchbase,"335,573 €
                (2023)",2736664-3
Neuwo,333,"SaaS/AdTech, MarTech, E-commerce",2022,Jyväskylä,Crunchbase,"200,110 €
                (2023)",3280995-5
Yonoton,320,Other Consumer Software & Apps,2016,Helsinki,Crunchbase,"1,672,197 €
                (2023)",2732822-5
Ainak,297,SaaS/Business Software,2018,Huhmari,Crunchbase,"67,680 €
                (2023)",2925129-2
Valossa,701,SaaS/Business Software,2015,Oulu,2.3 M€,"653,701 €
                (2022)",2718321-4
Unikie,652,SaaS/Business Software,2015,Tampere,12.38 M€,"64,881,596 €
                (2023)",2679881-5
Front AI,344,,2019,Helsinki,2.38 M€,"2,354,455 €
                (2023)",2990106-4
Cover Story,282,Building & Construction,2020,Helsinki,Crunchbase,"480,952 €
                (2022)",3132585-2
Phaver,917,Other Consumer Software & Apps,2019,Helsinki,7.51 M€,"1,904,533 €
                (2023)",3019296-3
Custobar,696,SaaS/Business Software,2014,Helsinki,0.35 M€,"3,304,289 €
                (2022)",2645106-1
Eventz Today,400,Other Consumer Software & Apps,2015,Helsinki,Crunchbase,"246,394 €
                (2023)",2700656-8
Taiga Concept,321,Fashion & Design Technology,2015,Kuopio,Crunchbase,"4,500,679 €
                (2023)",2696176-6
Tablebed,311,Hardware & Devices,2017,Turku,Crunchbase,N/A,2820085-6
Wonsta,217,SaaS/Software Development & Ops,2021,Helsinki,Crunchbase,"8,944 €
                (2021)",3204106-9
thtRobotics,158,Hardware & Devices,2019,Vantaa,2.09 M€,"0 €
                (2024)",2989304-1
Shipit,577,Industrial Equipment,2015,Mariehamn,Crunchbase,"7,318,590 €
                (2024)",2705721-8
Bellylabs,280,Health & Medical Technology,2017,Helsinki,Crunchbase,"430,975 €
                (2023)",2818331-2
